OBJECTID,Survey,Name,Alternate,Coordinate,FilterAttestations,attestations,Paleolithi,Neolithic,Early-Mid ,Late Chalc,Early Bron,Middle Bro,Late Bronz,Iron 1,Iron 2,Iron 3,Achaemenid,Hellenisti,Roman 1,Roman 2,Roman 3,Byzantine,Abbasid,Middle Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second Mil,First Mill,Islamic,Neo,EB_I,EB_II,EB_III,2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron,Middle_Bro,Late_Bronz,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_1,IRON_2,IRON_3,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle IA,Late Antique/Antik,Late R,NE,Late IA,2nd MIll,Early IA,Filter,Data,New,News,x,y
1608,Cilicia (Rutishauer),Karapinar,Karapinar,"38.790363, 35.945646","EarlyBronzeAge,MiddleBronzeAge,Hellenistic,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""Hellenistic""}",,,,,,,,,,,,Y,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, Hel, BA, Class",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,Hellenistic,BronzeAge",35.9456460004018,38.7903629998185
1609,Cilicia (Rutishauer),Hazarsah,Hazarsah,"38.758019, 35.974741","EarlyBronzeAge,MiddleBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,BronzeAge",35.9747409996416,38.7580190002715
1610,Cilicia (Rutishauer),Kes Burun,Kes Burun,"38.746499, 35.956214","EarlyIronAge,MiddleIronAge,LateIronAge,IronAge","{""0"":""EarlyIronAge"",""1"":""MiddleIronAge"",""2"":""LateIronAge""}",,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"EIA, MIA, LIA, IA",AnatolianAtlas2024,,"EarlyIronAge,MiddleIronAge,LateIronAge,IronAge",35.9562139996948,38.7464989996848
1611,Cilicia (Rutishauer),Erek III,Erek III,"38.688815, 36.029321","EarlyBronzeAge,BronzeAge",{""0"":""EarlyBronzeAge""},,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,BronzeAge",36.0293209995742,38.6888150002696
1612,Cilicia (Rutishauer),Erek II,Erek II,"38.670148, 36.021961","EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,BronzeAge,Classical,Roman,IronAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""EarlyIronAge"",""4"":""MiddleIronAge"",""5"":""LateIronAge"",""6"":""Achaemenid"",""7"":""Hellenistic"",""8"":""EarlyRoman"",""9"":""LateRoman""}",,,,,,,,,,,Y (Epoche),Y,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"EBA, MBA, LBA, EIA, MIA, LIA, Achae, Hel, ERom, LRom, BA, Class, Rom, IA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,BronzeAge,Classical,Roman,IronAge",36.0219610000435,38.6701480002977
1613,Cilicia (Rutishauer),Erek I,Erek I,"38.666225, 36.063648","EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge",36.0636479999294,38.6662249999878
1614,Cilicia (Rutishauer),Kavlaklar,Kavlaklar,"38.603869, 36.136773","EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,BronzeAge,IronAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""EarlyIronAge"",""4"":""MiddleIronAge"",""5"":""LateIronAge""}",,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"EBA, MBA, LBA, EIA, MIA, LIA, BA, IA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,BronzeAge,IronAge",36.1367730002505,38.6038690002716
1615,Cilicia (Rutishauer),Oruçoglu,Oruçoglu,"38.660591, 36.116792","EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,BronzeAge,IronAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""EarlyIronAge"",""4"":""MiddleIronAge"",""5"":""LateIronAge""}",,,,,,,,,,,,,,,,,,,,,,,confirmed,? (Radius 5 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"EBA, MBA, LBA, EIA, MIA, LIA, BA, IA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,BronzeAge,IronAge",36.1167919997612,38.6605909999584
1616,Cilicia (Rutishauer),Fraktin Hüyük,Fraktin Hüyük,"38.282111, 35.618061","EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,EarlyRoman,LateRoman,BronzeAge,Roman,Classical,IronAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""EarlyIronAge"",""4"":""MiddleIronAge"",""5"":""LateIronAge"",""6"":""EarlyRoman"",""7"":""LateRoman""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"EBA, MBA, LBA, EIA, MIA, LIA, ERom, LRom, BA, Rom, Class, IA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,EarlyRoman,LateRoman,BronzeAge,Roman,Classical,IronAge",35.6180610003256,38.282110999872
1617,Cilicia (Rutishauer),Kilikische Pforte,Gülek Bogazi,"37.276414, 34.793994","Paleolithic,Neolithic,Achaemenid,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Armenian,Mamluk,Ottoman,EarlyChalcolithic,LateChalcolithic,EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,BronzeAge,Chalcolithic,Classical,Roman,IronAge,Medieval,Byzantine,Islamic","{""0"":""Paleolithic"",""1"":""Neolithic"",""2"":""EarlyChalcolithic"",""3"":""LateChalcolithic"",""4"":""EarlyBronzeAge"",""5"":""MiddleBronzeAge"",""6"":""LateBronzeAge"",""7"":""EarlyIronAge"",""8"":""MiddleIronAge"",""9"":""LateIronAge"",""10"":""Achaemenid"",""11"":""Hellenistic"",""12"":""EarlyRoman"",""13"":""LateRoman"",""14"":""EarlyByzantine"",""15"":""Abbasid"",""16"":""MiddleByzantine"",""17"":""Armenian"",""18"":""Mamluk"",""19"":""Ottoman""}",? (Epoche),? (Epoche),Y (Epoche),,,,,,,,Y (Epoche),Y,Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y,Y (Epoche),Y (Epoche),,confirmed,confirmed,,,Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"Paleo, Neo, Achae, Hel, ERom, LRom, EByz, Abbas, MByz, Arm, Maml, Ott, EChalc, LChalc, EBA, MBA, LBA, EIA, MIA, LIA, BA, Chalc, Class, Rom, IA, Med, Byz, Islam",AnatolianAtlas2024,,"Paleolithic,Neolithic,Achaemenid,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Armenian,Mamluk,Ottoman,EarlyChalcolithic,LateChalcolithic,EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,BronzeAge,Chalcolithic,Classical,Roman,IronAge,Medieval,Byzantine,Islamic",34.7939939996028,37.2764140000761
1618,Cilicia (Rutishauer),Çotlu Höyük,Çotlu Höyük,"36.866224, 35.504232","Neolithic,EarlyChalcolithic,LateChalcolithic,EarlyRoman,LateRoman,Chalcolithic,Roman,Classical","{""0"":""Neolithic"",""1"":""EarlyChalcolithic"",""2"":""LateChalcolithic"",""3"":""EarlyRoman"",""4"":""LateRoman""}",,?,Y (Epoche),,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neo, EChalc, LChalc, ERom, LRom, Chalc, Rom, Class",AnatolianAtlas2024,,"Neolithic,EarlyChalcolithic,LateChalcolithic,EarlyRoman,LateRoman,Chalcolithic,Roman,Classical",35.5042319995845,36.8662240001124
1619,Cilicia (Rutishauer),Olugunönü Höyük,Olugunönü Höyük,"37.246999, 35.613326","EarlyChalcolithic,LateChalcolithic,EarlyRoman,LateRoman,Chalcolithic,Roman,Classical","{""0"":""EarlyChalcolithic"",""1"":""LateChalcolithic"",""2"":""EarlyRoman"",""3"":""LateRoman""}",,,Y (Epoche),,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,? (Radius 5 km),,,Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EChalc, LChalc, ERom, LRom, Chalc, Rom, Class",AnatolianAtlas2024,,"EarlyChalcolithic,LateChalcolithic,EarlyRoman,LateRoman,Chalcolithic,Roman,Classical",35.6133260002259,37.2469990001828
1620,Cilicia (Rutishauer),Güveloglu,Güveloglu,"36.844453, 35.601672","EarlyRoman,LateRoman,Roman,Classical","{""0"":""EarlyRoman"",""1"":""LateRoman""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, Rom, Class",AnatolianAtlas2024,,"EarlyRoman,LateRoman,Roman,Classical",35.6016719997382,36.8444530000819
1621,Cilicia (Rutishauer),Aliefendioglu,Aliefendioglu,"36.865739, 34.913675","EarlyIronAge,MiddleIronAge,Armenian,Mamluk,Ottoman,LateIronAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Classical,Roman,IronAge,Medieval,Byzantine,Islamic","{""0"":""EarlyIronAge"",""1"":""MiddleIronAge"",""2"":""LateIronAge"",""3"":""Achaemenid"",""4"":""Hellenistic"",""5"":""EarlyRoman"",""6"":""LateRoman"",""7"":""EarlyByzantine"",""8"":""Abbasid"",""9"":""MiddleByzantine"",""10"":""Armenian"",""11"":""Mamluk"",""12"":""Ottoman""}",,,,,,,,,,,? (Epoche),? (Epoche),? (Epoche),? (Epoche),? (Epoche),? (Epoche),? (Epoche),? (Epoche),? (Epoche),? (Epoche),? (Epoche),,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? (Epoche),? (Epoche),? (Epoche),,,,,,,,,,,,,"EIA, MIA, Arm, Maml, Ott, LIA, Achae, Hel, ERom, LRom, EByz, Abbas, MByz, Class, Rom, IA, Med, Byz, Islam",AnatolianAtlas2024,,"EarlyIronAge,MiddleIronAge,Armenian,Mamluk,Ottoman,LateIronAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Classical,Roman,IronAge,Medieval,Byzantine,Islamic",34.9136749998038,36.8657389999836
1622,Cilicia (Rutishauer),Dombur,Dombur,"36.893044, 35.580831","MiddleIronAge,Hellenistic,EarlyRoman,LateRoman,MiddleByzantine,Armenian,Mamluk,Ottoman,Roman,Classical,IronAge,Medieval,Byzantine","{""0"":""MiddleIronAge"",""1"":""Hellenistic"",""2"":""EarlyRoman"",""3"":""LateRoman"",""4"":""MiddleByzantine"",""5"":""Armenian"",""6"":""Mamluk"",""7"":""Ottoman""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),,,?,? (Epoche),? (Epoche),? (Epoche),,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,"MIA, Hel, ERom, LRom, MByz, Arm, Maml, Ott, Class, Rom, IA, Med, Byz",AnatolianAtlas2024,,"MiddleIronAge,Hellenistic,EarlyRoman,LateRoman,MiddleByzantine,Armenian,Mamluk,Ottoman,Roman,Classical,IronAge,Medieval,Byzantine",35.5808309998066,36.893043999738
1623,Cilicia (Rutishauer),Çömlek Tepesi,Çömlek Tepesi,"36.815101, 33.167806","EarlyBronzeAge,BronzeAge",{""0"":""EarlyBronzeAge""},,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,BronzeAge",33.1678060004484,36.8151009997031
1624,Cilicia (Rutishauer),Yeniköy II,Yeniköy II,"36.809857, 35.765078","EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,BronzeAge,Classical,Roman,IronAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""EarlyIronAge"",""4"":""MiddleIronAge"",""5"":""LateIronAge"",""6"":""Achaemenid"",""7"":""Hellenistic"",""8"":""EarlyRoman"",""9"":""LateRoman""}",,,,,,,,,,,Y (Epoche),Y,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"EBA, MBA, LBA, EIA, MIA, LIA, Achae, Hel, ERom, LRom, BA, Class, Rom, IA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,BronzeAge,Classical,Roman,IronAge",35.7650779996253,36.8098569996492
1625,Cilicia (Rutishauer),Vayvali,Vayvali,"36.900796, 35.629983","EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,Hellenistic,EarlyRoman,LateRoman,BronzeAge,Roman,Classical","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge"",""3"":""Hellenistic"",""4"":""EarlyRoman"",""5"":""LateRoman""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? (Epoche),? (Epoche),? (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, Hel, ERom, LRom, BA, Class, Rom",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,Hellenistic,EarlyRoman,LateRoman,BronzeAge,Roman,Classical",35.6299829997036,36.9007959999012
1626,Cilicia (Rutishauer),Kestelin Hüyük,Kestelin Hüyük,"36.97785, 35.141199","EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""LateBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, LBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,BronzeAge",35.1411989995949,36.9778499996775
1627,Cilicia (Rutishauer),Sevh Bedir Aleyhüsselem,Sevh Bedir Aleyhüsselem Alawite Shrine,"36.369547, 35.926471","Achaemenid,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Ottoman,Classical,Roman,Byzantine,Medieval","{""0"":""Achaemenid"",""1"":""Hellenistic"",""2"":""EarlyRoman"",""3"":""LateRoman"",""4"":""EarlyByzantine"",""5"":""Ottoman""}",,,,,,,,,,,?,Y,Y (Epoche),Y (Epoche),Y (Epoche),?,,,,,Y,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Achae, Hel, ERom, LRom, EByz, Ott, Class, Rom, Byz, Med",AnatolianAtlas2024,,"Achaemenid,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Ottoman,Classical,Roman,Byzantine,Medieval",35.9264709998265,36.3695469998537
1628,Cilicia (Rutishauer),Mopsos No 182,Mopsos No 182,"36.55811, 36.172067","Hellenistic,EarlyRoman,LateRoman,Roman,Classical","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman""}",,,,,,,,,,,,? (Epoche),? (Epoche),? (Epoche),? (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, Class, Rom",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,Roman,Classical",36.1720670001781,36.5581099997896
1629,Cilicia (Rutishauer),Mopsos No 183,Mopsos No 183,"36.557192, 36.172123","Hellenistic,EarlyRoman,LateRoman,Roman,Classical","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman""}",,,,,,,,,,,,? (Epoche),? (Epoche),? (Epoche),? (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, Class, Rom",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,Roman,Classical",36.1721230002546,36.5571919999131
1630,Cilicia (Rutishauer),Site No 184,Site No 184,"36.558596, 36.202579",Ottoman,{""0"":""Ottoman""},,,,,,,,,,,,,,,,,,,,,Y,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ott,AnatolianAtlas2024,,Ottoman,36.2025790001504,36.5585959996806
1631,Cilicia (Rutishauer),Site No 185,Site No 185,"36.390631, 35.915937","Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Roman,Classical,Byzantine,Medieval","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman"",""3"":""EarlyByzantine""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),?,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, EByz, Class, Rom, Byz, Med",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Roman,Classical,Byzantine,Medieval",35.9159369999704,36.3906310000907
1632,Cilicia (Rutishauer),Site No 186,Site No 186,"36.390808, 35.917917","Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Roman,Classical,Byzantine,Medieval","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman"",""3"":""EarlyByzantine""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),?,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, EByz, Class, Rom, Byz, Med",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Roman,Classical,Byzantine,Medieval",35.9179170000443,36.3908080003338
1633,Cilicia (Rutishauer),Site No 188,Site No 188,"36.376776, 35.934973",,{},,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,,35.9349729997302,36.3767759997854
1634,Cilicia (Rutishauer),Site No 189,Site No 189,"36.377812, 35.935986","Hellenistic,EarlyRoman,LateRoman,Mamluk,Ottoman,Roman,Classical,Medieval","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman"",""3"":""Mamluk"",""4"":""Ottoman""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),,,,,Y,Y,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, Maml, Ott, Class, Rom, Med",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,Mamluk,Ottoman,Roman,Classical,Medieval",35.9359860002317,36.3778119997281
1635,Cilicia (Rutishauer),Site No 190,Site No 190,"36.37461, 35.940468","EarlyRoman,LateRoman,Roman,Classical","{""0"":""EarlyRoman"",""1"":""LateRoman""}",,,,,,,,,,,,,? (Epoche),? (Epoche),? (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, Rom, Class",AnatolianAtlas2024,,"EarlyRoman,LateRoman,Roman,Classical",35.940467999713,36.3746100002787
1636,Cilicia (Rutishauer),Site No 191,Site No 191,"36.362097, 35.950504","EarlyRoman,LateRoman,Roman,Classical","{""0"":""EarlyRoman"",""1"":""LateRoman""}",,,,,,,,,,,,,? (Epoche),? (Epoche),? (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, Rom, Class",AnatolianAtlas2024,,"EarlyRoman,LateRoman,Roman,Classical",35.9505039996268,36.3620970000955
1637,Cilicia (Rutishauer),Site No 192,Site No 192,"36.371259, 35.948833","Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Roman,Classical,Byzantine,Medieval","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman"",""3"":""EarlyByzantine""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),?,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, EByz, Class, Rom, Byz, Med",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Roman,Classical,Byzantine,Medieval",35.9488330002477,36.3712589999353
