OBJECTID,AA_ID,Survey,Name,Alternate,X,Y,Coordinate,attestations4Filter,attestations,Paleolithi,Neolithic,Early_Mid,Late_Chalc,Early_Bron,Middle_Bro,Late_Bronz,Iron_1,Iron_2,Iron_3,Achaemenid,Hellenisti,Roman_1,Roman_2,Roman_3,Byzantine,Abbasid,Middle_Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc_1,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,F1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second_Mil,First_Mill,Islamic,Neo,EB_I,EB_II,EB_III,F2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron_1,Middle_Bro_1,Late_Bronz_1,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_12,IRON_23,IRON_34,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle_IA,Late_Antique_Antik,Late_R,NE,Late_IA,F2nd_MIll,Early_IA,Filter,Data,New,News
785,AA0784,Cilicia (Rutishauer),Madenli,French School in Madenli Village,35.99121500000007,36.45503100000008,35.9912150000001 36.4550310000001,"MiddleByzantine,Byzantine,Medieval","{""0"":""MiddleByzantine""}",,,,,,,,,,,,,,,,,,?,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MByz, Byz, Med",AnatolianAtlas2024,,"MiddleByzantine,Byzantine,Medieval"
786,AA0785,Cilicia (Rutishauer),Madenli Village Cemetery,Madenli Village Cemetery,35.99188000000004,36.45867300000003,35.99188 36.458673,"Hellenistic,EarlyRoman,LateRoman,Roman,Classical","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, Class, Rom",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,Roman,Classical"
787,AA0786,Cilicia (Rutishauer),Düzöğüren,Düzöğüren,36.00754200000006,36.48617100000007,36.0075420000001 36.4861710000001,"Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Armenian,Mamluk,Ottoman,Roman,Classical,Medieval,Byzantine,Islamic","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman"",""3"":""EarlyByzantine"",""4"":""Abbasid"",""5"":""MiddleByzantine"",""6"":""Armenian"",""7"":""Mamluk"",""8"":""Ottoman""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),?,Y,Y,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, EByz, Abbas, MByz, Arm, Maml, Ott, Class, Rom, Med, Byz, Islam",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Armenian,Mamluk,Ottoman,Roman,Classical,Medieval,Byzantine,Islamic"
788,AA0787,Cilicia (Rutishauer),Karadağ,Karadağ,36.00126600000004,36.47934500000008,36.001266 36.4793450000001,"EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic","{""0"":""EarlyRoman"",""1"":""LateRoman"",""2"":""EarlyByzantine"",""3"":""Abbasid"",""4"":""MiddleByzantine""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, EByz, Abbas, MByz, Rom, Class, Byz, Med, Islam",AnatolianAtlas2024,,"EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic"
789,AA0788,Cilicia (Rutishauer),Kocadamı,Kocadamı Cemetery,35.99935500000004,36.48357300000004,35.999355 36.483573,Hellenistic,"{""0"":""Hellenistic""}",,,,,,,,,,,,Y,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, Class",AnatolianAtlas2024,,Hellenistic
790,AA0789,Cilicia (Rutishauer),Bulgarlu,Bulgarlu,35.98162600000006,36.39453200000003,35.9816260000001 36.394532,"EarlyByzantine,Abbasid,MiddleByzantine,Byzantine,Medieval,Islamic","{""0"":""EarlyByzantine"",""1"":""Abbasid"",""2"":""MiddleByzantine""}",,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EByz, Abbas, MByz, Byz, Med, Islam",AnatolianAtlas2024,,"EarlyByzantine,Abbasid,MiddleByzantine,Byzantine,Medieval,Islamic"
791,AA0790,Cilicia (Rutishauer),Kastel,Kastel,35.98847500000005,36.38825100000003,35.9884750000001 36.388251,"EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic","{""0"":""EarlyRoman"",""1"":""LateRoman"",""2"":""EarlyByzantine"",""3"":""Abbasid"",""4"":""MiddleByzantine""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, EByz, Abbas, MByz, Rom, Class, Byz, Med, Islam",AnatolianAtlas2024,,"EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic"
792,AA0791,Cilicia (Rutishauer),Mopsos no 166,,35.99416800000006,36.38761300000004,35.9941680000001 36.387613,"EarlyRoman,Mamluk,Roman,Classical,Medieval","{""0"":""EarlyRoman"",""1"":""Mamluk""}",,,,,,,,,,,,,Y,,,,,,,?,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, Maml, Rom, Class, Med",AnatolianAtlas2024,,"EarlyRoman,Mamluk,Roman,Classical,Medieval"
793,AA0792,Cilicia (Rutishauer),Beyköyü,Columns in Old Cemetery of Beyköyü,35.95212800000007,36.40298000000007,35.9521280000001 36.4029800000001,,{},,,,,,,,,,,,,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
794,AA0793,Cilicia (Rutishauer),Gökmeydan,Gökmeydan 20th Century Pottery Workshop,35.95220400000005,36.40409500000004,35.9522040000001 36.404095,Ottoman,"{""0"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,,Y,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ott,AnatolianAtlas2024,,Ottoman
795,AA0794,Cilicia (Rutishauer),Seyithızır 1,Seyithızır türbesi - Seyithızır 1,35.90572800000007,36.43612000000007,35.9057280000001 36.4361200000001,"Mamluk,Ottoman,Medieval","{""0"":""Mamluk"",""1"":""Ottoman""}",,,,,,,,,,,,,,,,,,,,?,Y,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maml, Ott, Med",AnatolianAtlas2024,,"Mamluk,Ottoman,Medieval"
796,AA0795,Cilicia (Rutishauer),Seyithızır 3,Seyithızır 3,35.90959200000003,36.44073900000006,35.909592 36.4407390000001,"EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic","{""0"":""EarlyRoman"",""1"":""LateRoman"",""2"":""EarlyByzantine"",""3"":""Abbasid"",""4"":""MiddleByzantine""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, EByz, Abbas, MByz, Rom, Class, Byz, Med, Islam",AnatolianAtlas2024,,"EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic"
797,AA0796,Cilicia (Rutishauer),Mopsos no 174,,35.85617000000008,36.35866000000004,35.8561700000001 36.35866,"Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman"",""3"":""EarlyByzantine"",""4"":""Abbasid"",""5"":""MiddleByzantine""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),Y (Epoche),,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, EByz, Abbas, MByz, Class, Rom, Byz, Med, Islam",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Roman,Classical,Byzantine,Medieval,Islamic"
798,AA0797,Cilicia (Rutishauer),Mopsos no 175,Mediterranean Sea in Front of Sayegh House in Arsuz,35.88692600000007,36.41448800000006,35.8869260000001 36.4144880000001,Hellenistic,"{""0"":""Hellenistic""}",,,,,,,,,,,,Y,,,,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, Class",AnatolianAtlas2024,,Hellenistic
799,AA0798,Cilicia (Rutishauer),Rossos,Uluçınar,35.88181000000003,36.41032200000006,35.88181 36.4103220000001,"EarlyIronAge,MiddleIronAge,Mamluk,LateIronAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,Armenian,Classical,Roman,IronAge,Medieval,Byzantine,Islamic","{""0"":""EarlyIronAge"",""1"":""MiddleIronAge"",""2"":""LateIronAge"",""3"":""Achaemenid"",""4"":""Hellenistic"",""5"":""EarlyRoman"",""6"":""LateRoman"",""7"":""EarlyByzantine"",""8"":""Abbasid"",""9"":""Armenian"",""10"":""Mamluk""}",,,,,,,,,,,? (Epoche),Y,Y (Epoche),Y (Epoche),Y (Epoche),Y,Y,,Y,Y,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? (Epoche),? (Epoche),? (Epoche),,,,,,,,,,,,,"EIA, MIA, Maml, LIA, Achae, Hel, ERom, LRom, EByz, Abbas, Arm, Class, Rom, IA, Med, Byz, Islam",AnatolianAtlas2024,,"EarlyIronAge,MiddleIronAge,Mamluk,LateIronAge,Achaemenid,Hellenistic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,Armenian,Classical,Roman,IronAge,Medieval,Byzantine,Islamic"
800,AA0799,Cilicia (Rutishauer),Mopsos no 178,,35.87823500000007,36.40953400000006,35.8782350000001 36.4095340000001,"Hellenistic,EarlyRoman,LateRoman,Roman,Classical","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, Class, Rom",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,Roman,Classical"
801,AA0800,Cilicia (Rutishauer),Mopsos no 179,,35.88059300000003,36.40936000000005,35.880593 36.40936,"Hellenistic,EarlyRoman,LateRoman,Roman,Classical","{""0"":""Hellenistic"",""1"":""EarlyRoman"",""2"":""LateRoman""}",,,,,,,,,,,,Y,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hel, ERom, LRom, Class, Rom",AnatolianAtlas2024,,"Hellenistic,EarlyRoman,LateRoman,Roman,Classical"
802,AA0801,Cilicia (Rutishauer),Mopsos no 180,,35.88291400000003,36.40097700000007,35.882914 36.4009770000001,"EarlyRoman,LateRoman,Roman,Classical","{""0"":""EarlyRoman"",""1"":""LateRoman""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, Rom, Class",AnatolianAtlas2024,,"EarlyRoman,LateRoman,Roman,Classical"
803,AA0802,Cilicia (Rutishauer),Adana,Adana Tepebağ,35.32821500000006,36.98838100000006,35.3282150000001 36.9883810000001,"EarlyChalcolithic,LateChalcolithic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Armenian,Mamluk,Ottoman,EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,Achaemenid,Hellenistic,BronzeAge,Chalcolithic,Classical,Roman,IronAge,Medieval,Byzantine,Islamic","{""0"":""EarlyChalcolithic"",""1"":""LateChalcolithic"",""2"":""EarlyBronzeAge"",""3"":""MiddleBronzeAge"",""4"":""LateBronzeAge"",""5"":""EarlyIronAge"",""6"":""MiddleIronAge"",""7"":""LateIronAge"",""8"":""Achaemenid"",""9"":""Hellenistic"",""10"":""EarlyRoman"",""11"":""LateRoman"",""12"":""EarlyByzantine"",""13"":""Abbasid"",""14"":""MiddleByzantine"",""15"":""Armenian"",""16"":""Mamluk"",""17"":""Ottoman""}",,,Y,,,,,,,,?,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,confirmed,confirmed,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,,,,,,,,,,"EChalc, LChalc, ERom, LRom, EByz, Abbas, MByz, Arm, Maml, Ott, EBA, MBA, LBA, EIA, MIA, LIA, Achae, Hel, BA, Chalc, Class, Rom, IA, Med, Byz, Islam",AnatolianAtlas2024,,"EarlyChalcolithic,LateChalcolithic,EarlyRoman,LateRoman,EarlyByzantine,Abbasid,MiddleByzantine,Armenian,Mamluk,Ottoman,EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,EarlyIronAge,MiddleIronAge,LateIronAge,Achaemenid,Hellenistic,BronzeAge,Chalcolithic,Classical,Roman,IronAge,Medieval,Byzantine,Islamic"
804,AA0803,Cilicia (Rutishauer),Turunclu Aquedukt,Turunclu Aquedukt,36.02250300000003,36.95655100000005,36.022503 36.956551,"EarlyRoman,LateRoman,Roman,Classical","{""0"":""EarlyRoman"",""1"":""LateRoman""}",,,,,,,,,,,,,?,?,?,,,,,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, Rom, Class",AnatolianAtlas2024,,"EarlyRoman,LateRoman,Roman,Classical"
805,AA0804,Cilicia (Rutishauer),Silifke Kalesi,Silifke Kalesi,33.91559900000004,36.37659300000007,33.915599 36.3765930000001,"EarlyChalcolithic,LateChalcolithic,EarlyBronzeAge,EarlyByzantine,Abbasid,MiddleByzantine,Armenian,Mamluk,BronzeAge,Chalcolithic,Medieval,Byzantine,Islamic","{""0"":""EarlyChalcolithic"",""1"":""LateChalcolithic"",""2"":""EarlyBronzeAge"",""3"":""EarlyByzantine"",""4"":""Abbasid"",""5"":""MiddleByzantine"",""6"":""Armenian"",""7"":""Mamluk""}",,,Y (Epoche),,,,,,,,,,,,,?,?,Y,Y,?,,,confirmed,confirmed,,,Y (Epoche),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EChalc, LChalc, EBA, EByz, Abbas, MByz, Arm, Maml, BA, Chalc, Med, Byz, Islam",AnatolianAtlas2024,,"EarlyChalcolithic,LateChalcolithic,EarlyBronzeAge,EarlyByzantine,Abbasid,MiddleByzantine,Armenian,Mamluk,BronzeAge,Chalcolithic,Medieval,Byzantine,Islamic"
806,AA0661,Cilicia (Rutishauer),Lamas Kalesi,Lamas Kalesi,34.24089800000007,36.55720100000008,34.2408980000001 36.5572010000001,"MiddleByzantine,Armenian,Mamluk,Medieval,Byzantine","{""0"":""MiddleByzantine"",""1"":""Armenian"",""2"":""Mamluk""}",,,,,,,,,,,,,,,,,,?,Y,?,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MByz, Arm, Maml, Med, Byz",AnatolianAtlas2024,,"MiddleByzantine,Armenian,Mamluk,Medieval,Byzantine"
807,AA0805,Cilicia (Rutishauer),Arslanköy,Arslanköy,34.28005900000005,37.00332600000007,34.2800590000001 37.0033260000001,"Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,Y,?,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval"
808,AA0806,Cilicia (Rutishauer),Gediği Kalesi,Gediği Kalesi,34.38079800000003,36.99250000000006,34.380798 36.9925000000001,"Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,Y,?,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval"
809,AA0807,Cilicia (Rutishauer),Fındıkpınarı Kalesi,Fındıkpınarı Kalesi,34.38230100000004,36.92580000000004,34.382301 36.9258,"Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,Y,?,,,confirmed,? (Radius 5 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval"
810,AA0808,Cilicia (Rutishauer),Kuzucubelen,Kuzucubelen,34.43529400000006,36.84595500000006,34.4352940000001 36.8459550000001,"MiddleByzantine,Armenian,Mamluk,Medieval,Byzantine","{""0"":""MiddleByzantine"",""1"":""Armenian"",""2"":""Mamluk""}",,,,,,,,,,,,,,,,,,?,Y,?,,,confirmed,? (Radius 5 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MByz, Arm, Maml, Med, Byz",AnatolianAtlas2024,,"MiddleByzantine,Armenian,Mamluk,Medieval,Byzantine"
811,AA0809,Cilicia (Rutishauer),Tece Kalesi,Tece Kalesi,34.45372200000003,36.70831200000003,34.453722 36.708312,"Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,Y,?,,,confirmed,? (Radius 5 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval"
812,AA0810,Cilicia (Rutishauer),Basnalar Kalesi,Basnalar Kalesi,34.48747900000006,36.84326900000008,34.4874790000001 36.8432690000001,"EarlyRoman,LateRoman,Armenian,Mamluk,Roman,Classical,Medieval","{""0"":""EarlyRoman"",""1"":""LateRoman"",""2"":""Armenian"",""3"":""Mamluk""}",,,,,,,,,,,,,Y (Epoche),Y (Epoche),Y (Epoche),,,,Y,?,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ERom, LRom, Arm, Maml, Rom, Class, Med",AnatolianAtlas2024,,"EarlyRoman,LateRoman,Armenian,Mamluk,Roman,Classical,Medieval"
813,AA0811,Cilicia (Rutishauer),Hisar Kalesi,Hisar Kalesi,34.45719900000006,37.00880000000006,34.4571990000001 37.0088000000001,"MiddleByzantine,Armenian,Mamluk,Medieval,Byzantine","{""0"":""MiddleByzantine"",""1"":""Armenian"",""2"":""Mamluk""}",,,,,,,,,,,,,,,,,,?,Y,?,,,confirmed,? (Radius 5 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MByz, Arm, Maml, Med, Byz",AnatolianAtlas2024,,"MiddleByzantine,Armenian,Mamluk,Medieval,Byzantine"
814,AA0812,Cilicia (Rutishauer),Evciler Kalesi,Evciler Kalesi,34.49390000000005,37.03879900000004,34.4939000000001 37.038799,"Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,Y,?,,,confirmed,? (Radius 5 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval"
815,AA0813,Cilicia (Rutishauer),Belen Keşlik Kalesi,Belen Keşlik Kalesi,34.55329800000004,36.97219800000005,34.553298 36.972198,"Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,Y,?,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval"
816,AA0814,Cilicia (Rutishauer),Mlič,Gözne Kalesi,34.57509900000008,36.99240100000003,34.5750990000001 36.992401,"Armenian,Medieval","{""0"":""Armenian""}",,,,,,,,,,,,,,,,,,,Y,,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Med",AnatolianAtlas2024,,"Armenian,Medieval"
817,AA0815,Cilicia (Rutishauer),Sinap Kalesi,Sinap Kalesi,34.56826000000007,37.01996900000006,34.5682600000001 37.0199690000001,"Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,Y,Y,,,confirmed,? (Radius 5 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval"
818,AA0816,Cilicia (Rutishauer),Lambrun,Lampron Kalesi,34.60309900000004,37.16609900000003,34.603099 37.166099,"MiddleByzantine,Armenian,Mamluk,Medieval,Byzantine","{""0"":""MiddleByzantine"",""1"":""Armenian"",""2"":""Mamluk""}",,,,,,,,,,,,,,,,,,Y,Y,Y,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MByz, Arm, Maml, Med, Byz",AnatolianAtlas2024,,"MiddleByzantine,Armenian,Mamluk,Medieval,Byzantine"
819,AA0817,Cilicia (Rutishauer),Awšini Amroc',Sinop Kalesi,34.61251000000004,37.18170400000002,34.61251 37.181704,"Armenian,Mamluk,Medieval","{""0"":""Armenian"",""1"":""Mamluk""}",,,,,,,,,,,,,,,,,,,Y,?,,,confirmed,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arm, Maml, Med",AnatolianAtlas2024,,"Armenian,Mamluk,Medieval"
