OBJECTID,AA_ID,Survey,Name,Alternate,X,Y,Coordinate,attestations4Filter,attestations,Paleolithi,Neolithic,Early_Mid,Late_Chalc,Early_Bron,Middle_Bro,Late_Bronz,Iron_1,Iron_2,Iron_3,Achaemenid,Hellenisti,Roman_1,Roman_2,Roman_3,Byzantine,Abbasid,Middle_Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc_1,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,F1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second_Mil,First_Mill,Islamic,Neo,EB_I,EB_II,EB_III,F2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron_1,Middle_Bro_1,Late_Bronz_1,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_12,IRON_23,IRON_34,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle_IA,Late_Antique_Antik,Late_R,NE,Late_IA,F2nd_MIll,Early_IA,Filter,Data,New,News
2155,AA2140,Omura,Fasil Ozu 1,,33.57833300000004,39.60527800000006,33.578333 39.6052780000001,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-002,"On slope of hill, carved relief identified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnatolianAtlas2024,,
2156,AA2141,Omura,Fasil Ozu 2,,33.58250000000004,39.60416700000007,33.5825 39.6041670000001,"Roman,Classical","{""0"":""Roman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,07-003,"300 m east-west, 200 m south-north",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rom, Class",AnatolianAtlas2024,,"Roman,Classical"
2157,AA2142,Omura,Höyük-Armutlu,,33.62416700000006,39.52027800000008,33.6241670000001 39.5202780000001,"Chalcolithic,EarlyBronzeAge,MiddleBronzeAge,BronzeAge","{""0"":""Chalcolithic"",""1"":""EarlyBronzeAge"",""2"":""MiddleBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-004,"186 m east-west, 140 m south-north, 12.5 m high",,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chalc, EBA, MBA, BA",AnatolianAtlas2024,,"Chalcolithic,EarlyBronzeAge,MiddleBronzeAge,BronzeAge"
2158,AA2143,Omura,Alaman Mevkii,,33.62055600000008,39.52333300000004,33.6205560000001 39.523333,"Chalcolithic,EarlyBronzeAge,MiddleBronzeAge,BronzeAge","{""0"":""Chalcolithic"",""1"":""EarlyBronzeAge"",""2"":""MiddleBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-005,"60 m east-west, 100 m south-north",,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chalc, EBA, MBA, BA",AnatolianAtlas2024,,"Chalcolithic,EarlyBronzeAge,MiddleBronzeAge,BronzeAge"
2159,AA2144,Omura,Yascayir Höyük 1,,33.58777800000007,39.56472200000007,33.5877780000001 39.5647220000001,"EarlyBronzeAge,MiddleBronzeAge,IronAge,BronzeAge","{""0"":""EarlyBronzeAge"",""1"":""MiddleBronzeAge"",""2"":""IronAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,07-006,"220 m east-west, 180 m south-north, 6 m high",,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, MBA, IA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,MiddleBronzeAge,IronAge,BronzeAge"
2160,AA2145,Omura,Yascayir Höyük 2,,33.58638900000005,39.56472200000007,33.586389 39.5647220000001,IronAge,"{""0"":""IronAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,07-007,"220 m east-west, 220 m south-north,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA,AnatolianAtlas2024,,IronAge
2161,AA2146,Omura,Cangal Mevkii,,33.58638900000005,39.51361100000003,33.586389 39.513611,"Roman,Classical","{""0"":""Roman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,07-008,"140 m east-west, 300 m south-north",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rom, Class",AnatolianAtlas2024,,"Roman,Classical"
2162,AA2147,Omura,Ciriklar Mevkii,,33.62527800000004,39.54277800000006,33.625278 39.5427780000001,"Roman,Classical","{""0"":""Roman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,07-009,"90 m east-west, 130 m south-north",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rom, Class",AnatolianAtlas2024,,"Roman,Classical"
2163,AA2148,Omura,Orenpinar,,33.65555600000005,39.52750000000003,33.655556 39.5275,"Chalcolithic,EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,IronAge,BronzeAge","{""0"":""Chalcolithic"",""1"":""EarlyBronzeAge"",""2"":""MiddleBronzeAge"",""3"":""LateBronzeAge"",""4"":""IronAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,07-010,"132 m east-west, 112 m south-north, 3.5 m high",,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chalc, EBA, MBA, LBA, IA, BA",AnatolianAtlas2024,,"Chalcolithic,EarlyBronzeAge,MiddleBronzeAge,LateBronzeAge,IronAge,BronzeAge"
2164,AA2149,Omura,Hopbagin Cesmesi,,33.50083300000006,39.52111100000008,33.5008330000001 39.5211110000001,"EarlyBronzeAge,BronzeAge","{""0"":""EarlyBronzeAge""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-011,"75 m east-west, 100 m south-north, 9.6 m high",,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EBA, BA",AnatolianAtlas2024,,"EarlyBronzeAge,BronzeAge"
