OBJECTID,Survey,Name,Alternate,X,Y,Coordinate,attestations4Filter,attestations,Paleolithi,Neolithic,Early_Mid,Late_Chalc,Early_Bron,Middle_Bro,Late_Bronz,Iron_1,Iron_2,Iron_3,Achaemenid,Hellenisti,Roman_1,Roman_2,Roman_3,Byzantine,Abbasid,Middle_Byz,Armenian,Mamluk,Ottoman,Modern,Coordinate_1,Coordinate_2,Halaf,Uruk,Late_Chalc_1,EBA,MBA,LBA,Iron_Age,Roman,Late_Roman,Early_Isla,Middle_Isl,Early_Chal,Mid_Chalco,MBA_LBA,F1stMil_BCA,Medieval,Site_Area_Ha,Chalcolith,Second_Mil,First_Mill,Islamic,Neo,EB_I,EB_II,EB_III,F2ndMillenn,Iron,Site_No,Description,F1stHalfIA,F2ndIA,Other,Calcolithi,Early_Bron_1,Middle_Bro_1,Late_Bronz_1,First_Half,Second_Hal,PPN,LateUruk,IronAge,Archaic,Classical,Bibliography,Website,Site_Type,Paleo,Chalco,OldHittite,EarlyEmpir,LateEmpire,EarlyIron,MidIron,LateIron,Hellenisit,Early_Byz,Turkic,Lower_Pale,Mid_Paleo,PPNA,PPNB,EB,EBI,EBII,EBIII,MB,LB,IA,Early_Hell,Late_Hell,Early_Roma,Chalcoliti,EB_1,EB_2,EB3,EB_4,MB_1,MB_2,IRON_12,IRON_23,IRON_34,Helenisitc,Late_Antiq,Chalcolithic,Hellenistic,Hittite,Middle_IA,Late_Antique_Antik,Late_R,NE,Late_IA,F2nd_MIll,Early_IA,Filter,Data,New,News,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,nodegoat_ID,Pleiades_Link,DAI_Gazetteer_Link,ToposText_Link,Original_Periods,Publications
3717,MIGMAG 2025,Alinda,,27.82690710371865,37.55958795211235,"37.55958795211235, 27.82690710371865","Archaic,Classical,EarlyRoman,Hellenistic,IronAge,Roman","{""0"": ""Archaic"", ""1"": ""Classical"", ""2"": ""Hellenistic"", ""3"": ""EarlyRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngXE3B78jZEP9YuXhY85kmuGyXr,https://pleiades.stoa.org/places/599480,https://gazetteer.dainst.org/place/2109151,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE), An16 Early Roman (50 BCE - 300 CE)",
3718,MIGMAG 2025,Kizilcayar,,27.83214569091797,38.71257201354583,"38.71257201354583, 27.83214569091797","Archaic,Classical,EarlyIronAge,IronAge","{""0"": ""EarlyIronAge"", ""1"": ""Archaic"", ""2"": ""Classical""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An10a G (900-680 BCE), An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE)",
3719,MIGMAG 2025,Kahraman,,27.83801211853421,39.15269416124711,"39.15269416124711, 27.83801211853421",Classical,{"0": "Classical"},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An14 Classical (490-323 BCE),
3720,MIGMAG 2025,Moralilar Tumulus Group,,27.83982672,38.86385281268435,"38.86385281268435, 27.83982672","Archaic,Classical,IronAge","{""0"": ""Archaic"", ""1"": ""Classical""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE)",
3721,MIGMAG 2025,Thyateira,,27.84004211425781,38.91988697357692,"38.91988697357692, 27.84004211425781","Archaic,Classical,EarlyRoman,Hellenistic,IronAge,Roman","{""0"": ""Archaic"", ""1"": ""Classical"", ""2"": ""Hellenistic"", ""3"": ""EarlyRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ersoy (2018) Hermus (Gediz) Valley in Western Turkey: results of an archaeological and historical survey, Meriç",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngCJ4C28oEJUmDzGmCL0nrzbdCw,https://pleiades.stoa.org/places/550924,https://gazetteer.dainst.org/place/2283106,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE), An16 Early Roman (50 BCE - 300 CE)","Ersoy (2018) Hermus (Gediz) Valley in Western Turkey: results of an archaeological and historical survey, Meriç"
3722,MIGMAG 2025,Moralilar,,27.84105635131901,38.84647559,"38.84647559, 27.84105635131901","Archaic,Classical,IronAge","{""0"": ""Archaic"", ""1"": ""Classical""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE)",
3723,MIGMAG 2025,Sivri Dag,,27.84146549556986,38.45334227705901,"38.45334227705901, 27.84146549556986","Archaic,IronAge",{"0": "Archaic"},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An13 Archaic (690-490 BCE),
3724,MIGMAG 2025,Asartepe,,27.84485277512506,38.55553088426175,"38.55553088426175, 27.84485277512506","Archaic,BronzeAge,Classical,EarlyIronAge,EarlyRoman,Hellenistic,IronAge,LateBronzeAge,Roman","{""0"": ""LateBronzeAge"", ""1"": ""EarlyIronAge"", ""2"": ""Archaic"", ""3"": ""Classical"", ""4"": ""Hellenistic"", ""5"": ""EarlyRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An04a LBA (1680-1050 BCE), An07a EIA (1050-900 BCE), An10a G (900-680 BCE), An13 Archaic (690-490 BCE), An14 Classical (490-323 BCE), An15 Hellenistic (323-50 BCE), An16 Early Roman (50 BCE - 300 CE)",
3725,MIGMAG 2025,Sivrice,,27.84665464800283,38.44030896703817,"38.44030896703817, 27.84665464800283",Classical,{"0": "Classical"},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An14 Classical (490-323 BCE),
3726,MIGMAG 2025,Larisa,,27.853554,37.905536,"37.905536, 27.853554","BronzeAge,Classical,EarlyRoman,MiddleBronzeAge,Roman","{""0"": ""MiddleBronzeAge"", ""1"": ""EarlyRoman""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngOV0G28aObG3PlGyQX05dlLpOC,https://pleiades.stoa.org/places/599749,,https://topostext.org/place/379279PLar,"An03 MBA (2000-1680 BCE), An16 Early Roman (50 BCE - 300 CE)",
